Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Labrador Retriever,Canada,"Yellow, Black, Chocolate",21-24,Brown,10-12,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
German Shepherd,Germany,"Black, Tan",22-26,Brown,7-10,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Bulldog,England,"White, Red",12-16,Brown,8-10,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Poodle,France,"White, Black, Brown, Apricot",10-15,"Brown, Blue",12-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Beagle,England,"White, Tan, Red, Lemon",13-15,Brown,12-15,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Chihuahua,Mexico,"Black, Brown, Tan, White",6-9,"Brown, Blue",12-20,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues"
Boxer,Germany,"Fawn, Brindle",21-25,Brown,10-12,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Pug,China,"Fawn, Black",10-14,Brown,12-15,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Rottweiler,Germany,"Black, Tan",22-27,Brown,8-10,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Siberian Husky,Russia,"Black, White",21-24,Blue,12-15,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Dachshund,Germany,"Black, Tan",5-9,"Brown, Blue",12-15,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Shih Tzu,China,"Black, White, Brown",9-10,Brown,10-16,"Affectionate, playful, confident, good-natured","Dental problems, respiratory issues, eye problems"
Bichon Frise,France,White,9-11,Brown,12-15,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Australian Shepherd,Australia,"Black, Red",18-23,"Brown, Blue",12-15,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Basset Hound,France,"Black, Tan",11-15,Brown,10-12,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Cocker Spaniel,England,"Black, Brown",14-15,Brown,12-15,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
French Bulldog,France,"White, Black, Brindle",11-12,Brown,10-12,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Pomeranian,Germany,"Orange, Sable, Black",6-7,Brown,12-16,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Great Dane,Germany,"Black, Blue, Fawn, Harlequin",28-34,Brown,8-10,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Mastiff,England,"Apricot, Fawn",30-34,Brown,8-10,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Newfoundland,Canada,"Black, Brown, Grey",26-28,Brown,9-11,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Saint Bernard,Switzerland,"Red, White",26-30,Brown,8-10,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Old English Sheepdog,England,"Blue, Grey",22-26,Brown,10-12,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Irish Wolfhound,Ireland,"Grey, Red, Black",30-35,Brown,6-8,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Greyhound,England,"Black, White, Brindle",26-30,Brown,10-12,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Scottish Deerhound,Scotland,"Blue, Grey",28-32,Brown,8-10,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Great Pyrenees,France,White,25-32,Brown,10-12,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Shar Pei,China,"Cream, Fawn",18-20,Brown,8-12,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Doberman Pinscher,Germany,"Black, Red",24-28,Brown,10-12,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
